iter	Logloss
0	0.6620687449
1	0.6399969514
2	0.6131125337
3	0.5906151756
4	0.5746167359
5	0.5554129889
6	0.5346573336
7	0.5150946575
8	0.498222194
9	0.4826650303
10	0.4705422865
11	0.4590780701
12	0.4402245561
13	0.4273516196
14	0.4130913107
15	0.4014329484
16	0.3867491204
17	0.3780132518
18	0.3643667328
19	0.3551087842
20	0.3458948634
21	0.3381528507
22	0.328129161
23	0.3200086588
24	0.3129726263
25	0.3066902985
26	0.2997697085
27	0.2935861771
28	0.2871232122
29	0.2804981458
30	0.2746136387
31	0.2682252739
32	0.2635026466
33	0.2595422372
34	0.2547657616
35	0.249739656
36	0.2452481906
37	0.2408387743
38	0.23682094
39	0.2308748476
40	0.2263631358
41	0.2239853697
42	0.220799102
43	0.2178349816
44	0.2141321514
45	0.2107291646
46	0.2082429816
47	0.2049476616
48	0.2024735326
49	0.1993996962
50	0.1970199218
51	0.1944830622
52	0.1918179674
53	0.1894380449
54	0.187267697
55	0.184795357
56	0.182359631
57	0.1798033381
58	0.1778276967
59	0.1754384217
60	0.1734582912
61	0.1721213219
62	0.1702157769
63	0.1686411335
64	0.1662450793
65	0.1639079217
66	0.1616992196
67	0.1602517137
68	0.15855317
69	0.1572789457
70	0.1558204669
71	0.1540076151
72	0.1530509558
73	0.1513134911
74	0.1500505763
75	0.1482846161
76	0.1465926089
77	0.1452900681
78	0.1434295448
79	0.141860883
80	0.1404348083
81	0.1387426432
82	0.1369772398
83	0.1351946193
84	0.1336021738
85	0.1324295579
86	0.1309708857
87	0.1296348805
88	0.1284589447
89	0.1264319244
90	0.1247648281
91	0.123910746
92	0.1224679167
93	0.1207825433
94	0.1198135844
95	0.1186799229
96	0.1173778027
97	0.116521546
98	0.1154985214
99	0.1142918541
100	0.1131575101
101	0.1120609262
102	0.1109732588
103	0.1098695921
104	0.1088289944
105	0.1076221598
106	0.1063498583
107	0.1057296114
108	0.1050861656
109	0.1039430711
110	0.1025699821
111	0.1020803332
112	0.1010675474
113	0.09988729117
114	0.09887973614
115	0.09797423433
116	0.09721420245
117	0.09664456259
118	0.09569163184
119	0.09534208944
120	0.09447058398
121	0.09342429695
122	0.09258192888
123	0.09142212063
124	0.0906275558
125	0.0899979999
126	0.08938310643
127	0.0889670874
128	0.08831337889
129	0.08762406485
130	0.08690107089
131	0.08616794319
132	0.08553834263
133	0.08478225253
134	0.08425167808
135	0.08351660907
136	0.08302727601
137	0.08232494457
138	0.08152083105
139	0.08086087018
140	0.08013683259
141	0.07947247827
142	0.07878201304
143	0.07813950453
144	0.0773444874
145	0.07696775648
146	0.07634176239
147	0.07588995918
148	0.07549869668
149	0.07512702539
150	0.07446437524
151	0.0738800698
152	0.07321349046
153	0.07262263638
154	0.07217211711
155	0.0714994886
156	0.07109809173
157	0.07052321296
158	0.06980642291
159	0.06929349899
160	0.06889575956
161	0.0683950277
162	0.06796552449
163	0.06761089919
164	0.06703102368
165	0.06651965295
166	0.06599211127
167	0.06560406584
168	0.06502220624
169	0.06468585802
170	0.06405783077
171	0.06370060048
172	0.06302513548
173	0.06239277392
174	0.06184904179
175	0.0613554801
176	0.06098858914
177	0.06043207488
178	0.05995001076
179	0.05949378139
180	0.05916857971
181	0.05866540705
182	0.05840006038
183	0.05799659324
184	0.05739504618
185	0.05692538989
186	0.05663280563
187	0.05621941234
188	0.05598317665
189	0.05545544939
190	0.0550613397
191	0.05466059267
192	0.05414669684
193	0.0537404775
194	0.05340122296
195	0.05297622517
196	0.0526364982
197	0.05234930132
198	0.05200027476
199	0.05164064518
200	0.05122720786
201	0.05098098564
202	0.05057199838
203	0.05010133054
204	0.04974929198
205	0.04937782325
206	0.04897948494
207	0.04855721481
208	0.0483902004
209	0.04806664374
210	0.04763812817
211	0.04733439486
212	0.04689050413
213	0.04666494631
214	0.04628530404
215	0.0459465018
216	0.04575764661
217	0.04543273682
218	0.04514548017
219	0.04487036338
220	0.04467260051
221	0.04442145265
222	0.04412763037
223	0.0438914406
224	0.04364080165
225	0.04329097617
226	0.04302466765
227	0.042635622
228	0.04231451495
229	0.04204504219
230	0.04165318962
231	0.04143619537
232	0.04117828497
233	0.0408992176
234	0.04063526685
235	0.04030844215
236	0.03992313886
237	0.03964698472
238	0.03934197438
239	0.03905564499
240	0.03875882833
241	0.0385579503
242	0.03822996874
243	0.03798147431
244	0.03769327971
245	0.03748008255
246	0.03729216027
247	0.03700180356
248	0.03676496772
249	0.03647440405
250	0.03624888146
251	0.03596134802
252	0.03569187149
253	0.03546759384
254	0.03523125309
255	0.03501757972
256	0.0347890489
257	0.03453539921
258	0.03424296278
259	0.0340141036
260	0.03386521528
261	0.03369850974
262	0.0333846018
263	0.03318683264
264	0.03295887743
265	0.03273166264
266	0.03252666166
267	0.03235970575
268	0.03214705462
269	0.03199447805
270	0.03181831944
271	0.03162938687
272	0.03146799322
273	0.0312781378
274	0.03108709532
275	0.03086392798
